there	EX
a	DT
try	NN
block	NN
at	IN
the	DT
main	C
method	NN
)	-RRB-
but	CC
after	IN
introduction	NN
of	IN
c	C
+	C
+	C
11	C
mt	C
structures	NNS
(	-LRB-
std	C
:	C
:	C
thread	C
,	C
std	C
:	C
:	C
async	C
)	C
stack	NN
unwinding	VBG
can	MD
be	VB
a	DT
problem	NN
to	TO
watch	VB
out	RP
.	.
i	PRP
can	MD
imagine	VB
the	DT
horrors	NNS
that	WDT
ensue	VBP
in	IN
these	DT
situations	NNS
...	.
schemaless	JJ
databases	NNS
are	VBP
a	DT
much	RB
better	RBR
fit	JJ
for	IN
rapid	JJ
prototyping	NN
and	CC
iterative	JJ
development	NN
,	,
but	CC
like	IN
everything	NN
else	RB
,	,
such	JJ
flexibility	NN
comes	VBZ
with	IN
various	JJ
trade	NN
-	:
offs	CD
.	.
i	PRP
am	VBP
sad	JJ
i	PRP
can	MD
only	RB
give	VB
one	CD
upvote	NN
to	TO
this	DT
concise	JJ
and	CC
complete	JJ
question-with-answers-edited-in	JJ
:	:
)	-RRB-
suppose	VB
you	PRP
also	RB
want	VBP
to	TO
do	VB
ad	C
hoc	C
distribution	NN
through	IN
jenkins	NNP
,	,
this	DT
necessitates	VBZ
that	IN
jenkins	NNP
has	VBZ
access	NN
to	TO
a	DT
distribution	NN
certificate	NN
,	,
and	CC
the	DT
team	NN
admin	NN
identity	NN
,	,
in	IN
addition	NN
to	TO
the	DT
provisioning	VBG
profiles	NNS
.	.
using	VBG
an	DT
exported	VBN
identity	NN
in	IN
a	DT
.	C
cer	NN
file	NN
,	,
you	PRP
can	MD
programmatically	RB
import	JC
it	PRP
like	IN
so	RB
,	,
the-a	NNP
switch	JC
is	VBZ
to	TO
allow	VB
all	DT
programs	NNS
access	NN
to	TO
this	DT
entry	NN
.	.
alternatively	RB
,	,
you	PRP
could	MD
use	VB
several-t	C
/	CC
path	NN
/	CC
to	TO
/	CC
program	NN
switches	NNS
to	TO
allow	VB
codesign	NN
and	CC
xcodebuild	C
access	NN
.	C
:	C
$	C
security	C
import	C
devcertificate	C
.	C
cer-kjenkins.keychain	C
-	C
a	C
of	IN
course	NN
,	,
we	PRP
should	MD
also	RB
have	VB
the	DT
apple	NNP
wwdcra	NNP
certificate	NN
,	,
imported	VBN
in	IN
pretty	RB
much	RB
the	DT
same	JJ
way	NN
:	:
$	C
security	C
import	C
applewwdrca	C
.	C
cer-kjenkins.keychain	C
-	C
a	C
however	RB
,	,
we	PRP
also	RB
need	VBP
the	DT
private	JJ
key	NN
for	IN
the	DT
devcertificate	C
.	C
cer	C
.	.
to	TO
do	VB
this	DT
,	,
you	PRP
need	VBP
to	TO
export	VB
the	DT
corresponding	JJ
private	NN
key	NN
as	IN
a	DT
.	.
p12	C
key	C
and	CC
set	VB
a	DT
password	NN
.	.
put	VB
it	PRP
somewhere	RB
you	PRP
can	MD
access	VB
it	PRP
from	IN
your	PRP$
jenkins	NNP
shell	NN
,	,
unlock	VB
the	DT
keychain	NN
,	,
and	CC
import	JC
it	PRP
:	:
$	C
security	C
unlock-keychain	C
-	C
p	C
yourkeychainpass	C
jenkins	C
.	C
keychain	C
$	C
security	C
import	C
devprivatekey	C
.	C
p12	C
-	C
k	C
login	NN
.	.
keychain-pthepasswordyousetwhenexporting	ER
-	ER
a	ER
importing	VBG
the	DT
distribution	NN
certificate	NN
works	VBZ
the	DT
same	JJ
way	NN
.	.
i	PRP
do	VBP
n't	RB
know	VB
why	WRB
you	PRP
need	VBP
to	TO
unlock	VB
the	DT
keychain	NN
for	IN
importing	VBG
a	DT
.	.
p12	NN
and	CC
not	RB
for	IN
a	DT
.	C
cer	NN
,	,
but	CC
well	RB
.	.
you	PRP
will	MD
also	RB
need	VB
access	NN
to	TO
the	DT
provisioning	VBG
profiles	NNS
,	,
i	PRP
will	MD
edit	VB
those	DT
instructions	NNS
into	IN
this	DT
post	NN
shortly	RB
.	.
this	DT
is	VBZ
the	DT
best	JJS
you	PRP
can	MD
do	VB
with	IN
legacy	NNP
mysql	NNP
extension	NN
.	.
for	IN
new	JJ
code	NN
,	,
you	PRP
're	VBP
advised	VBN
to	TO
switch	VB
to	TO
mysqli	NNP
or	CC
pdo	NN
.	.
this	DT
is	VBZ
n't	RB
a	DT
duplicate	VB
but	CC
explains	VBZ
our	PRP$
options	NNS
nicely	RB
:	:
http://stackoverflow.com/q/995719/957245	URI
@aedonetlira	USR
i	PRP
m	VBP
trying	VBG
to	TO
create	VB
an	DT
event	NN
recorder	NN
for	IN
a	DT
native	ER
application	ER
.	ER
for	IN
example	NN
if	IN
i	PRP
have	VBP
a	DT
login	NN
application	NN
then	RB
i	PRP
can	MD
record	VB
the	DT
events	NNS
to	TO
login	VB
like	IN
touch	NN
,	,
keyboard	NN
input	NN
etc	FW
.	.
.	.
.	.
so	IN
i	PRP
can	MD
reply	VB
the	DT
recorded	VBN
events	NNS
and	CC
the	DT
login	NN
would	MD
be	VB
automated	VBN
.	.
i	PRP
m	VBP
trying	VBG
to	TO
minimize	VB
altering	VBG
the	DT
application	NN
source	NN
as	RB
much	RB
as	IN
possible	JJ
.	.
please	VB
advise	NN
.	.
thanks	UH
as	IN
it	PRP
was	VBD
pointed	VBN
out	RP
by	IN
grand	NNP
layouts	NNS
are	VBP
n't	RB
meant	VBN
to	TO
display	VB
large	JJ
amounts	CCM
of	IN
data	NNS
,	,
that	WDT
is	VBZ
my	PRP$
case	NN
unfortunately	RB
.	.
@	JC
visista	JC
i	JC
initially	RB
tried	VBD
sencha	RB
touch	VB
with	IN
phonegap	NN
for	IN
this	DT
project	NN
,	,
but	CC
the	DT
amount	NN
of	IN
ram	NN
the	DT
prototype	NN
used	VBN
was	VBD
unacceptable	JJ
(	-LRB-
22	CD
mb	NN
)	-RRB-
,	,
so	IN
i	PRP
decided	VBD
to	TO
go	VB
native	ER
.	.
@	JC
amadan	JC
,	JC
i	JC
added	VBN
iso2	JC
.	JC
equals	JC
(	JC
abbr	JC
)	JC
to	TO
a	DT
watch	C
variable	NN
in	IN
the	DT
debugger	ER
@	JC
amadan	USR
i	PRP
think	VBP
if	IN
string	JC
.	JC
equals	JC
was	VBD
redefined	VBN
the	DT
op	NN
has	VBZ
enough	RB
of	IN
a	DT
grasp	NN
of	IN
aop/	NNP
byte	NN
-	:
code	NN
manipulation	NN
to	TO
figure	VB
out	RP
that	IN
having	VBG
done	VBN
so	RB
might	MD
be	VB
the	DT
issue	NN
.	.
this	DT
one	CD
did	VBD
the	DT
trick	NN
for	IN
me	PRP
public	JC
void	JC
ondestroy	JC
(	JC
)	JC
{	JC
super	JC
.	JC
ondestroy	JC
(	JC
)	JC
;	JC
system	JC
.	JC
runfinalizersonexit	JC
(	JC
true	JC
)	JC
;	JC
system	JC
.	JC
exit	JC
(	JC
0	JC
)	JC
;	JC
}	JC
noting	VBG
@	USR
zeisemer	USR
's	POS
answer	NN
below	IN
,	,
the	DT
way	NN
you	PRP
worded	VBD
your	PRP$
question	NN
(	-LRB-
with	IN
two	CD
bounding	VBG
points	NNS
)	-RRB-
kind	NN
of	IN
restricts	VBZ
your	PRP$
"	``
map	C
"	''
to	TO
being	VBG
a	DT
simple	JJ
line	NN
.	.
if	IN
you	PRP
want	VBP
to	TO
specify	VB
a	DT
region	NN
with	IN
more	JJR
than	IN
one	CD
dimension	NN
,	,
then	RB
you	PRP
'll	MD
need	VB
at	IN
least	JJS
three	CD
points	NNS
,	,
such	JJ
as	IN
orlando	NNP
,	,
chicago	NNP
,	,
and	CC
new	JJ
york	NN
.	.
even	RB
changing	VBG
if	IN
(	-LRB-
actionid	JC
=	JC
=	JC
editorinfo	JC
.	JC
ime_	JC
null	JC
)	JC
{	JC
startactivity	JC
(	JC
new	JC
intent	JC
(	JC
"com.easyphys.start.calculator"	JC
)	JC
)	JC
;	JC
}	JC
with	IN
only	JJ
startactivity	JC
(	JC
new	JC
intent	JC
(	JC
"com.easyphys.start.calculator"	JC
)	JC
)	JC
;	JC
gives	VBZ
the	DT
same	JJ
@	JC
ali	NNP
-	--
i	PRP
'm	VBP
not	RB
impressed	VBN
with	IN
your	PRP$
architect	NN
.	.
imo	UH
,	,
it	PRP
is	VBZ
a	DT
better	JJR
idea	NN
to	TO
detect	VB
and	CC
deal	VB
with	IN
nulls	NNS
at	IN
source	NN
rather	RB
than	IN
at	IN
every	DT
api	NN
.	.
apart	NN
from	IN
that	DT
,	,
treat	VBP
unexpected	JJ
nulls	NNS
as	IN
bugs	NNS
and	CC
let	VB
them	PRP
turn	VB
into	IN
npes	NNS
.	.
the	DT
trouble	NN
with	IN
explicitly	RB
testing	VBG
for	IN
nulls	NNS
is	VBZ
that	IN
your	PRP$
code	NN
is	VBZ
cluttered	VBN
with	IN
pointless	JJ
checks	NNS
,	,
and	CC
you	PRP
may	MD
fall	VB
into	IN
the	DT
trap	NN
of	IN
"	``
fixing	VBG
"	''
the	DT
nulls	NNS
by	IN
turning	VBG
them	PRP
into	IN
empty	JJ
strings	NNS
(	-LRB-
for	IN
example	NN
)	-RRB-
.	.
@entreco	USR
:	:
i	PRP
was	VBD
hoping	VBG
there	EX
would	MD
be	VB
an	DT
elegant	JJ
way	NN
of	IN
doing	VBG
the	DT
same	JJ
thing	NN
.	.
i	PRP
do	VBP
want	VBP
to	TO
get	VB
the	DT
applicationcontext	NN
,	,
and	CC
i	PRP
think	VBP
that	IN
it	PRP
makes	VBZ
sense	NN
to	TO
accept	VB
a	DT
singleton	C
in	IN
this	DT
case	NN
.	.
i	PRP
actually	RB
downloaded	VBD
the	DT
entire	JJ
android	NNP
source	NN
for	IN
froyo	NNP
and	CC
looked	VBN
at	IN
the	DT
way	NN
google	NNP
is	VBZ
handling	VBG
this	DT
problem	NN
.	.
it	PRP
turns	VBZ
out	RP
that	IN
for	IN
all	DT
of	IN
the	DT
classes	NNS
i	PRP
've	VBP
looked	VBN
at	IN
the	DT
context	NN
is	VBZ
passed	VBN
around	IN
as	IN
a	DT
parameter	NN
,	,
either	CC
as	IN
an	DT
arg	C
.	.
to	TO
the	DT
ctor	NN
or	CC
arg	C
.	C
to	TO
the	DT
function	NN
.	.
more	RBR
specifically	RB
if	IN
you	PRP
look	VBP
inside	IN
the	DT
froyo	NNP
release	NN
,	,
under	IN
this	DT
path	NN
packages	NNS
/	CC
apps	NNS
/	CC
contacts	JC
/	JC
src	JC
/	JC
com	JC
/	JC
android	JC
/	JC
contacts	JC
/	JC
util	JC
/*	CCM
@	JC
davejohnston	JC
it	PRP
forwords	VBZ
to	TO
the	DT
transfer	VB
code	NN
activity	C
when	WRB
i	PRP
dismiss	CCM
the	CCM
equals	CCM
@davejohnston	USR
ahha	USR
that	DT
'sok	NN
this	DT
answer	NN
was	VBD
allready	RB
solved	VBN
[	-LRB-
see	VB
this	DT
question	NN
]	-RRB-
[	-LRB-
1	CD
]	-RRB-
[	-LRB-
1	CD
]	-RRB-
:	:
http://stackoverflow.com/questions/7223582/android-screen-orientation-data-lose-prevention/7224074#7224074	URI
@sunilkumar	USR
:	:
the	DT
strings	NNS
are	VBP
not	RB
same	JJ
i	PRP
want	VBP
to	TO
remove	VB
all	PDT
the	DT
spaces	NNS
and	CC
commas	NNS
after	IN
"	``
mark	VB
"	''
word	NN
.	.
@schijndelvanjos	USR
anyway	RB
,	,
now	RB
you	PRP
have	VBP
the	DT
answer	NN
for	IN
your	PRP$
question	NN
;-	NN
)	-RRB-
i	PRP
googled	VBD
for	IN
"	``
findviewbyid	C
string	C
"	''
.	.
these	DT
solutions	NNS
does	VBZ
not	RB
solve	VB
my	PRP$
problem	NN
,	,
my	PRP$
problem	NN
is	VBZ
in	IN
the	DT
first	JJ
activity	C
which	WDT
runs	VBZ
with	IN
the	DT
default	NN
local	JJ
at	IN
the	DT
first	JJ
run	NN
after	IN
each	DT
time	NN
the	DT
user	NN
force	NN
my	PRP$
app	NN
to	TO
close	VB
,	,
do	VBP
you	PRP
have	VB
any	DT
solution	NN
?	.
@karthik	USR
here	RB
's	VBZ
code	NN
that	WDT
throws	VBZ
eror	NN
:	:
public	JC
customrelativelayout	ER
(	ER
context	ER
context	ER
,	ER
attributeset	ER
attrs	ER
)	ER
{	ER
super	JC
(	JC
context	JC
,	JC
attrs	JC
)	JC
;	JC
}	JC
i	PRP
mean	VBP
that	IN
i	PRP
want	VBP
to	TO
check	VB
isnextquestion	C
(	C
)	C
until	IN
i	PRP
stop	VBP
the	DT
thread	NN
.	.
with	IN
future	JJ
callables	NNS
,	,
i	PRP
can	MD
just	RB
check	VB
it	PRP
once	RB
and	CC
get	VB
a	DT
return	NN
value	NN
which	WDT
will	MD
be	VB
false	JJ
.	.
but	CC
it	PRP
could	MD
turn	VB
true	JJ
while	IN
the	DT
thread	NN
is	VBZ
alive	JJ
..	,
so	IN
i	PRP
want	VBP
to	TO
check	VB
it	PRP
permanently	RB
and	CC
want	VBP
to	TO
receive	VB
the	DT
correct	JJ
result	NN
until	IN
i	PRP
finish	NN
the	DT
thread	NN
@	JC
selvin	NNP
help	VB
others	NNS
so	RB
in	IN
future	JJ
someone	NN
help	NN
you	PRP
....	F
@dejanlekic	USR
for	IN
some	DT
definition	NN
of	IN
"	``
simple	JJ
"	''
;	:
)	-RRB-
off	IN
-	C
by	IN
-	--
one	CD
errors	NNS
in	IN
array	NN
offsets	NNS
are	VBP
a	DT
frequent	JJ
source	NN
of	IN
bugs	NNS
:	:
p	C
thanks	VBZ
@	USR
0cool	USR
,	,
i	PRP
have	VBP
seen	VBN
that	IN
post	NN
but	CC
i	PRP
'm	VBP
not	RB
sure	JJ
that	IN
a	DT
android	NNP
.	.
graphics	NNS
.	.
bitmap	JC
(	JC
not	RB
android	NNP
.	.
graphics	NNS
.	.
drawable	JC
.	JC
bitmapdrawable	JC
)	JC
is	VBZ
also	RB
a	DT
drawable	C
.	.
is	VBZ
that	IN
indeed	RB
the	DT
case	NN
?	.
resource	NN
at	IN
r	JC
.	JC
raw	JC
is	VBZ
made	VBN
at	IN
the	DT
compilation	NN
of	IN
the	DT
r	C
class	C
which	WDT
creates	VBZ
the	DT
ids	NNS
for	IN
the	DT
resources	NNS
.	.
the	DT
uri	NN
.	.
parse	C
(	C
)	C
requires	VBZ
an	DT
rfc	NN
2396	CD
-	:
compliant	JJ
,	,
encoded	VBN
uri	NN
parameter	NN
.	.
r	JC
.	JC
raw	JC
.	JC
song	NN
is	VBZ
the	DT
int	NN
id	NN
of	IN
this	DT
song	NN
.	.
you	PRP
might	MD
want	VB
to	TO
read	VB
something	NN
like	IN
this	DT
http://stackoverflow.com/questions/559902/android-how-can-i-convert-android-net-uri-object-to-java-net-uri-	URI
object	NN
and	CC
check	VB
how	WRB
to	TO
make	VB
a	DT
uri	NN
from	IN
a	DT
file	NN
object	NN
.	.
thanks	UH
@styfle	USR
nop	NN
,	,
it	PRP
throws	VBZ
unknownhost	JJ
when	WRB
my	PRP$
internet	NN
is	VBZ
down	RP
.	.
@rolfrander	USR
if	IN
not	RB
for	IN
the	DT
fact	NN
that	IN
both	DT
times	NNS
were	VBD
unknownhostexception	JC
,	JC
we	PRP
would	MD
be	VB
able	JJ
to	TO
determine	VB
which	WDT
case	NN
is	VBZ
which	WDT
is	VBZ
n't	RB
it	PRP
?	.
have	VBP
you	PRP
tried	VBD
using	VBG
an	DT
array	NN
instead	RB
of	IN
a	DT
list	NN
?	.
string	JC
[	JC
]	JC
myarray	JC
=	JC
new	JC
string	JC
[	JC
10	JC
]	JC
;	JC
the	DT
java	NNP
books	NNS
are	VBP
1000	CD
pages	NNS
long	RB
,	,
i	PRP
just	RB
do	VBP
n't	RB
have	VB
the	DT
time	NN
to	TO
read	VB
all	DT
about	IN
it	PRP
:	:
-	C
(	-LRB-
i	PRP
have	VBP
gone	VBN
through	IN
the	DT
lynda	JC
.	JC
com	JC
course	NN
and	CC
read	VB
a	DT
quick	JJ
tour	NN
on	IN
java	NNP
for	IN
android	NNP
beginners	NNS
which	WDT
i	PRP
found	VBD
on	IN
the	DT
web	NN
.	.
i	PRP
just	RB
hoped	VBD
that	IN
reusing	VBG
code	NN
would	MD
be	VB
somewhat	RB
simpler	JJR
so	IN
no	DT
code	NN
examples	NNS
where	WRB
needed	VBN
:	:
o	NN
)	-RRB-
@	JC
luxurymode	JC
its	JC
wat	JC
owlstead	JC
said	VBD
exactly	RB
..	F
its	PRP$
a	DT
small	JJ
light	NN
that	WDT
is	VBZ
usually	RB
on	IN
the	DT
shift	C
button	NN
.	.
@marvin	USR
pinto	USR
:	:
i	PRP
just	RB
use	VBP
bundle	JC
extras	JC
=	JC
getintent	JC
(	JC
)	JC
.	JC
getextras	JC
(	JC
)	JC
;	JC
.	.
the	DT
user	NN
enter	VB
in	IN
editext	NN
the	DT
data	NNS
i	PRP
am	VBP
saying	VBG
.	.
for	IN
final_	NNP
cores	NNS
i	PRP
use	VBP
arraylist	C
<	C
double	C
>	C
final_cores	C
=	C
new	C
arraylist	C
<	C
double	C
>	C
(	C
)	C
;	C
as	IN
you	PRP
can	MD
see	VB
.	.
(	-LRB-
i	PRP
do	VBP
n't	RB
know	VB
if	IN
i	PRP
answered	VBN
your	PRP$
question	NN
,	,
forgive	VB
me	PRP
,	,
am	VBP
new	JJ
to	TO
java-android	JJ
)	-RRB-
sorry	JJ
for	IN
any	DT
confusion	NN
i	PRP
am	VBP
new	JJ
in	IN
this	DT
.	.
previously	RB
autocomplete	JJ
was	VBD
initialized	VBN
with	IN
autocompletetextview	C
but	CC
that	DT
would	MD
led	VBD
to	TO
"	``
cannot	ER
refer	VBP
to	TO
a	DT
non-final	JJ
variable	NN
autocomplete	NN
inside	IN
an	DT
inner	CCM
class	CCM
defined	VBN
in	IN
a	DT
different	JJ
method	NN
.	.
"	``
and	CC
once	RB
i	PRP
declare	VBP
autocomplete	JJ
with	IN
final	JJ
,	,
it	PRP
tells	VBZ
me	PRP
i	PRP
have	VBP
variable	JJ
duplication	NN
.	.
any	DT
of	IN
you	PRP
can	MD
head	VB
over	IN
here	RB
and	CC
have	VB
a	DT
look	NN
?	.
http://stackoverflow.com/questions/8997684/autocompletetextview-or-searchdialog/	URI
string	C
tempstr	C
=	C
"	C
\	C
naspen	C
social	JJ
club\nbarbasque\ncrimson\nforum\nlexicon\n"	JC
;	JC
string	JC
[	JC
]	JC
splitarr	JC
=	JC
tempstr	JC
.	JC
split	JC
(	JC
"\n"	JC
)	JC
;	JC
for	JC
(	JC
int	JC
i	JC
=	JC
0	JC
;	JC
i	JC
<	JC
splitarr	JC
.	JC
length	JC
;	JC
i	JC
+	JC
+	JC
)	JC
{	JC
system	JC
.	JC
out	JC
.	JC
println	JC
(	JC
"splitsizeis:"	JC
+	JC
splitarr	JC
[	JC
i	JC
]	JC
)	JC
;	JC
}	JC
@	JC
lohoris	JC
thanks	VBZ
,	,
that	WDT
was	VBD
my	PRP$
problem	NN
.	.
i	PRP
'	``
d	C
+	C
1	C
you	PRP
if	IN
you	PRP
had	VBD
written	VBN
it	PRP
as	IN
an	DT
answer	NN
:)	UH
@l7colwinters	USR
:	:
i	PRP
have	VBP
"	``
bundle	JC
extras	JC
=	JC
getintent	JC
(	JC
)	JC
.	JC
getextras	JC
(	JC
)	JC
;	JC
"	JC
(	JC
updated	VBN
)	-RRB-
.	.
i	PRP
am	VBP
not	RB
sure	JJ
if	IN
you	PRP
mean	VBP
that	IN
,	,
sorry	JJ
.	.
answering	VBG
my	PRP$
own	JJ
question	NN
.	.
for	IN
some	DT
reason	NN
i	PRP
had	VBD
to	TO
call	VB
both	DT
canvas	JC
.	JC
drawcolor	JC
(	JC
color	JC
.	JC
transparent	JC
,	JC
porterduff	JC
.	JC
mode	NN
.	.
clear	JJ
)	-RRB-
;	:
this	DT
.	.
framebuffer	JC
.	JC
erasecolor	JC
(	JC
color	JC
.	JC
transparent	JC
)	JC
;	JC
but	CC
it	PRP
was	VBD
still	RB
flickering	VBG
.	.
the	DT
flickering	VBG
was	VBD
due	JJ
to	TO
the	DT
double	JJ
buffering	NN
behaviour	NN
of	IN
the	DT
surfaceview	NN
.	.
http://stackoverflow.com/questions/6847323/android-surfaceview-canvas-flickering-after-trying-to-clear-it	URI
@	JC
yuvidroid	USR
-	:
ah	UH
,	,
i	PRP
did	VBD
miss	VB
that	IN
,	,
thanks	VBZ
:	:
)	-RRB-
.	.
that	DT
means	VBZ
i	PRP
can	MD
do	VB
it	PRP
,	,
but	CC
it	PRP
still	RB
leaves	VBZ
someone	NN
with	IN
16	CD
8	CD
k	C
reputation	NN
implying	VBG
i	PRP
should	MD
n't	RB
in	IN
the	DT
question	NN
i	PRP
linked	VBD
to	TO
:	:
http://stackoverflow.com/questions/4285877/which-one-to-use-onsaveinstancestate-vs-onretainnonconfigurationinstance	URI
-	--
i	PRP
would	MD
like	VB
to	TO
hear	VB
some	DT
arguments	NNS
for	IN
or	CC
against	IN
before	IN
picking	VBG
a	DT
method	NN
,	,
because	IN
i	PRP
find	VBP
the	DT
subject	NN
very	RB
confusing	JJ
.	.
my	PRP$
code	NN
looks	VBZ
like	IN
this	DT
..	F
.	.
if	JC
(	JC
frequency	JC
=	JC
=	JC
60	JC
)	JC
{	JC
note	NN
.	.
settext	JC
(	JC
"a"	C
)	C
;	C
}	C
else	C
if	C
(	C
frequency	C
=	C
=	C
62	C
)	C
{	C
note	NN
.	.
settext	JC
(	JC
"b"	JC
)	JC
;	JC
}	JC
so	RB
apparently	RB
there	EX
are	VBP
approximately	RB
35	ER
conditions	NNS
having	VBG
about	IN
150	ER
lines	NNS
of	IN
coding	VBG
.	.
.	.
@	JC
lalitpoptani	JC
threadgroup	ER
.	ER
uncaughtexception	ER
(	ER
thread	ER
,	ER
throwable	JC
)	JC
line	NN
:	:
850	CD
i	PRP
get	VBP
:	:
w	ER
/	ER
dalvikvm	ER
(	ER
8754	ER
)	ER
:	ER
threadid	ER
=	ER
1	ER
:	ER
thread	ER
exiting	ER
with	ER
uncaught	ER
exception	ER
(	ER
group	ER
=	ER
0x40018578	ER
)	ER
and	ER
then	RB
the	DT
rest	NN
of	IN
the	DT
errors	NNS
...	.
you	PRP
are	VBP
mistakable	JJ
@	JC
nanne	JC
!!!	JC
@	JC
nickt	JC
it	PRP
doesnt	NN
matter	NN
i	PRP
only	RB
integer	NN
in	IN
integer	NN
format	NN
.	.
i	PRP
do	VBP
nt	RB
want	VBP
acting	JJ
float	NN
number	NN
(	-LRB-
like	IN
1.0	CD
,	,
2.0	CD
is	VBZ
nothing	NN
but	CC
12	CD
right	JJ
?	.
)	-RRB-
@	JC
keyser	JC
"	JC
in	IN
this	DT
case	NN
"	''
.	.
thanks	VBZ
for	IN
the	DT
quick	JJ
reply	VBP
!	.
i	PRP
'	``
ll	MD
throw	VB
a	DT
few	JJ
errors	NNS
up	RP
:	.
no	DT
dublicate	NN
,	,
this	DT
is	VBZ
not	RB
about	IN
the	DT
@	C
override	C
issue	NN
in	IN
any	DT
case	NN
!	.
ty	NN
very	RB
much	RB
for	IN
the	DT
hint	NN
with	IN
v4	JC
supp	JC
package	JC
.	.
i	PRP
did	VBD
not	RB
know	VB
about	IN
this	DT
.	.
if	IN
you	PRP
add	VBP
this	DT
again	RB
as	IN
an	DT
answer	NN
i	PRP
can	MD
accept	VB
yours	NNS
.	.
try	VB
the	DT
steps	NNS
mentioned	VBN
in	IN
the	DT
answer	NN
of	IN
this	DT
[	-LRB-
so	IN
]	-RRB-
[	-LRB-
1	CD
]	-RRB-
question	NN
[	-LRB-
1	CD
]	-RRB-
:	:
http://stackoverflow.com/questions/3593420/android-getting-source-code-from-an-apk-file	URI
see	VB
this	DT
..........................http://stackoverflow.com/questions/9498155/android-java-update-same-edittext-in-textchanged-event	URI
alright	UH
,	,
but	CC
the	DT
method	NN
i	PRP
need	VBP
to	TO
use	VB
only	RB
exists	VBZ
in	IN
3.0	CD
.	SYM
and	CC
according	VBG
to	TO
http	NNP
:	:
//developer.android.com/resources/dashboard/platform-versions	C
.	C
html	C
2.3.3	C
is	VBZ
on	IN
top	NN
.	.
@	JC
thomasw	C
after	IN
a	DT
gazillion	NN
tries	VBZ
i	PRP
finally	RB
got	VBD
it	PRP
right	RB
.	.
