there	EX
could	MD
use	VB
several-t	C
/	CC
path	C
/	CC
to	TO
/	CC
program	NN
switches	NNS
to	TO
allow	VB
codesign	NN
and	CC
xcodebuild	NN
access	NN
.	.
:	:
$	C
security	C
import	C
devcertificate	C
.	C
cer-kjenkins.keychain	C
-	C
a	C
of	IN
course	NN
,	,
we	PRP
should	MD
also	RB
have	VB
the	DT
apple	NNP
wwdcra	NNP
certificate	NN
,	,
imported	VBN
in	IN
pretty	RB
much	RB
the	DT
same	JJ
way	NN
:	:
$	C
security	C
import	C
applewwdrca	C
.	C
cer-kjenkins.keychain	C
-	C
a	C
however	RB
,	,
we	PRP
also	RB
need	VBP
the	DT
private	JJ
key	NN
for	IN
the	DT
devcertificate	NN
.	.
cer	NN
.	.
to	TO
do	VB
this	DT
,	,
you	PRP
need	VBP
to	TO
export	VB
the	DT
corresponding	JJ
private	JJ
key	NN
as	IN
a	DT
.	.
p12	C
key	NN
and	CC
set	VB
a	DT
password	NN
.	.
put	VB
it	PRP
somewhere	RB
you	PRP
can	MD
access	VB
it	PRP
from	IN
your	PRP$
jenkins	NNP
shell	NN
,	,
unlock	VB
the	DT
keychain	NN
,	,
and	CC
import	VB
it	PRP
:	:
$	C
security	C
unlock-keychain	C
-	C
p	C
yourkeychainpass	C
jenkins	C
.	C
keychain	C
$	C
security	C
import	C
devprivatekey	C
.	C
p12	C
-	C
k	C
login	C
.	C
keychain-pthepasswordyousetwhenexporting	C
-	C
a	C
importing	VBG
the	DT
distribution	NN
certificate	NN
works	VBZ
the	DT
same	JJ
way	NN
.	.
i	PRP
do	VBP
n't	RB
know	VB
why	WRB
you	PRP
need	VBP
to	TO
unlock	VB
the	DT
keychain	NN
for	IN
importing	VBG
a	DT
.	.
p12	NNP
and	CC
not	RB
for	IN
a	DT
.	C
cer	C
,	,
but	CC
well	RB
.	.
you	PRP
will	MD
also	RB
need	VB
access	VB
to	TO
the	DT
provisioning	NN
profiles	NNS
,	,
i	PRP
will	MD
edit	VB
those	DT
instructions	NNS
into	IN
this	DT
post	NN
shortly	RB
.	.
this	DT
is	VBZ
the	DT
best	JJS
you	PRP
can	MD
do	VB
with	IN
legacy	JJ
mysql	NNP
extension	NN
.	.
for	IN
new	JJ
code	NN
,	,
you	PRP
're	VBP
advised	VBN
to	TO
switch	VB
to	TO
mysqli	NNP
or	CC
pdo	NN
.	.
this	DT
is	VBZ
n't	RB
a	DT
duplicate	VB
but	CC
explains	VBZ
our	PRP$
options	NNS
nicely	RB
:	:
http://stackoverflow.com/q/995719/957245	URI
@aedonetlira	USR
i	PRP
m	VBP
trying	VBG
to	TO
create	VB
an	DT
event	NN
recorder	NN
for	IN
a	DT
native	JJ
application	NN
.	.
for	IN
example	NN
if	IN
i	PRP
have	VBP
a	DT
login	NN
application	NN
then	RB
i	PRP
can	MD
record	VB
the	DT
events	NNS
to	TO
login	VB
like	IN
touch	VB
,	,
keyboard	NN
input	NN
etc	FW
.	.
.	SYM
.	.
so	RB
i	PRP
can	MD
reply	VB
the	DT
recorded	VBN
events	NNS
and	CC
the	DT
login	NN
would	MD
be	VB
automated	VBN
.	.
i	PRP
m	VBP
trying	VBG
to	TO
minimize	VB
altering	VBG
the	DT
application	NN
source	NN
as	RB
much	RB
as	IN
possible	JJ
.	.
please	VB
advise	NN
.	.
thanks	UH
as	IN
it	PRP
was	VBD
pointed	VBN
out	RP
by	IN
grand	C
layouts	C
are	VBP
n't	RB
meant	VBN
to	TO
display	VB
large	JJ
amounts	NNS
of	IN
data	NNS
,	,
that	WDT
is	VBZ
my	PRP$
case	NN
unfortunately	RB
.	.
@	JC
visista	JC
i	PRP
initially	RB
tried	VBD
sencha	RB
touch	VB
with	IN
phonegap	NN
for	IN
this	DT
project	NN
,	,
but	CC
the	DT
amount	NN
of	IN
ram	NN
the	DT
prototype	NN
used	VBD
was	VBD
unacceptable	JJ
(	-LRB-
22	CD
mb	NN
)	-RRB-
,	,
so	IN
i	PRP
decided	VBD
to	TO
go	VB
native	JJ
.	.
@	USR
amadan	USR
,	,
i	PRP
added	VBD
iso2	JC
.	JC
equals	JC
(	JC
abbr	JC
)	JC
to	TO
a	DT
watch	C
variable	NN
in	IN
the	DT
debugger	NN
@	.
amadan	USR
i	PRP
think	VBP
if	IN
string	JC
.	JC
equals	JC
was	VBD
redefined	VBN
the	DT
op	NN
has	VBZ
enough	RB
of	IN
a	DT
grasp	NN
of	IN
aop/	C
byte	NN
-	:
code	NN
manipulation	NN
to	TO
figure	VB
out	RP
that	IN
having	VBG
done	NN
so	RB
might	MD
be	VB
the	DT
issue	NN
.	.
this	DT
one	PRP
did	VBD
the	DT
trick	NN
for	IN
me	PRP
public	JC
void	JC
ondestroy	JC
(	JC
)	JC
{	JC
super	JC
.	JC
ondestroy	JC
(	JC
)	JC
;	JC
system	JC
.	JC
runfinalizersonexit	JC
(	JC
true	JC
)	JC
;	JC
system	JC
.	JC
exit	JC
(	JC
0	JC
)	JC
;	JC
}	JC
noting	NN
@	SYM
zeisemer	NN
's	POS
answer	NN
below	IN
,	,
the	DT
way	NN
you	PRP
worded	VBD
your	PRP$
question	NN
(	-LRB-
with	IN
two	CD
bounding	VBG
points	NNS
)	-RRB-
kind	NN
of	IN
restricts	VBZ
your	PRP$
"	``
map	C
"	''
to	TO
being	VBG
a	DT
simple	JJ
line	NN
.	.
if	IN
you	PRP
want	VBP
to	TO
specify	VB
a	DT
region	NN
with	IN
more	JJR
than	IN
one	CD
dimension	NN
,	,
then	RB
you	PRP
'll	MD
need	VB
at	IN
least	JJS
three	CD
points	NNS
,	,
such	JJ
as	IN
orlando	C
,	,
chicago	C
,	,
and	CC
new	JJ
york	NN
.	.
even	RB
changing	VBG
if	JC
(	JC
actionid	JC
=	JC
=	JC
editorinfo	JC
.	JC
ime_	JC
null	JC
)	JC
{	JC
startactivity	JC
(	JC
new	JC
intent	JC
(	JC
"com.easyphys.start.calculator"	JC
)	JC
)	JC
;	JC
}	JC
with	IN
only	JC
startactivity	JC
(	JC
new	JC
intent	JC
(	JC
"com.easyphys.start.calculator"	JC
)	JC
)	JC
;	JC
gives	VBZ
the	DT
same	JJ
@	.
ali	NNP
-	--
i	PRP
'm	VBP
not	RB
impressed	VBN
with	IN
your	PRP$
architect	NN
.	.
imo	UH
,	,
it	PRP
is	VBZ
a	DT
better	JJR
idea	NN
to	TO
detect	VB
and	CC
deal	VB
with	IN
nulls	NNS
at	IN
source	NN
rather	RB
than	IN
at	IN
every	DT
api	NN
.	.
apart	VB
from	IN
that	DT
,	,
treat	VBP
unexpected	JJ
nulls	NNS
as	IN
bugs	NNS
and	CC
let	VB
them	PRP
turn	VB
into	IN
npes	NNS
.	.
the	DT
trouble	NN
with	IN
explicitly	RB
testing	NN
for	IN
nulls	NNS
is	VBZ
that	IN
your	PRP$
code	NN
is	VBZ
cluttered	JJ
with	IN
pointless	JJ
checks	NNS
,	,
and	CC
you	PRP
may	MD
fall	VB
into	IN
the	DT
trap	NN
of	IN
"	``
fixing	VBG
"	''
the	DT
nulls	NNS
by	IN
turning	VBG
them	PRP
into	IN
empty	JJ
strings	NNS
(	-LRB-
for	IN
example	NN
)	-RRB-
.	.
@entreco	USR
:	:
i	PRP
was	VBD
hoping	VBG
there	EX
would	MD
be	VB
an	DT
elegant	JJ
way	NN
of	IN
doing	VBG
the	DT
same	JJ
thing	NN
.	.
i	PRP
do	VBP
want	VB
to	TO
get	VB
the	DT
applicationcontext	C
,	,
and	CC
i	PRP
think	VBP
that	IN
it	PRP
makes	VBZ
sense	NN
to	TO
accept	VB
a	DT
singleton	NN
in	IN
this	DT
case	NN
.	.
i	PRP
actually	RB
downloaded	VBD
the	DT
entire	JJ
android	NNP
source	NN
for	IN
froyo	NNP
and	CC
looked	VBN
at	IN
the	DT
way	NN
google	NNP
is	VBZ
handling	VBG
this	DT
problem	NN
.	.
it	PRP
turns	VBZ
out	RP
that	IN
for	IN
all	DT
of	IN
the	DT
classes	NNS
i	PRP
've	VBP
looked	VBN
at	IN
the	DT
context	NN
is	VBZ
passed	VBN
around	RP
as	IN
a	DT
parameter	NN
,	,
either	CC
as	IN
an	DT
arg	NN
.	.
to	TO
the	DT
ctor	NN
or	CC
arg	NN
.	URI
to	TO
the	DT
function	NN
.	.
more	RBR
specifically	RB
if	IN
you	PRP
look	VBP
inside	IN
the	DT
froyo	NN
release	NN
,	,
under	IN
this	DT
path	NN
packages	NNS
/	CC
apps	NNS
/	CC
contacts	ER
/	ER
src	ER
/	ER
com	ER
/	ER
android	ER
/	ER
contacts	ER
/	ER
util	ER
/*	ER
@	JC
davejohnston	USR
it	PRP
forwords	VBZ
to	TO
the	DT
transfer	NN
code	NN
activity	NN
when	WRB
i	PRP
dismiss	VBP
the	DT
equals	C
@davejohnston	USR
ahha	UH
that	IN
'sok	USR
this	DT
answer	NN
was	VBD
allready	RB
solved	VBN
[	-LRB-
see	VB
this	DT
question	NN
]	-RRB-
[	-LRB-
1	CD
]	-RRB-
[	-LRB-
1	CD
]	-RRB-
:	:
http://stackoverflow.com/questions/7223582/android-screen-orientation-data-lose-prevention/7224074#7224074	URI
@sunilkumar	USR
:	:
the	DT
strings	NNS
are	VBP
not	RB
same	JJ
i	PRP
want	VBP
to	TO
remove	VB
all	PDT
the	DT
spaces	NNS
and	CC
commas	NNS
after	IN
"	``
mark	NN
"	''
word	NN
.	.
@schijndelvanjos	USR
anyway	RB
,	,
now	RB
you	PRP
have	VBP
the	DT
answer	NN
for	IN
your	PRP$
question	NN
;-	--
)	-RRB-
i	PRP
googled	VBD
for	IN
"	``
findviewbyid	NN
string	NN
"	''
.	.
these	DT
solutions	NNS
does	VBZ
not	RB
solve	VB
my	PRP$
problem	NN
,	,
my	PRP$
problem	NN
is	VBZ
in	IN
the	DT
first	JJ
activity	C
which	WDT
runs	VBZ
with	IN
the	DT
default	JJ
local	JJ
at	IN
the	DT
first	JJ
run	C
after	IN
each	DT
time	NN
the	DT
user	NN
force	NN
my	PRP$
app	NN
to	TO
close	VB
,	,
do	VBP
you	PRP
have	VB
any	DT
solution	NN
?	.
@karthik	USR
here	RB
's	POS
code	NN
that	WDT
throws	VBZ
eror	NN
:	:
public	JC
customrelativelayout	JC
(	JC
context	JC
context	JC
,	JC
attributeset	JC
attrs	JC
)	JC
{	JC
super	JC
(	JC
context	JC
,	JC
attrs	JC
)	JC
;	JC
}	JC
i	PRP
mean	VBP
that	IN
i	PRP
want	VBP
to	TO
check	VB
isnextquestion	C
(	C
)	C
until	IN
i	PRP
stop	VBP
the	DT
thread	C
.	.
with	IN
future	NN
callables	NNS
,	,
i	PRP
can	MD
just	RB
check	VB
it	PRP
once	RB
and	CC
get	VB
a	DT
return	NN
value	NN
which	WDT
will	MD
be	VB
false	JJ
.	.
but	CC
it	PRP
could	MD
turn	VB
true	JJ
while	IN
the	DT
thread	NN
is	VBZ
alive	JJ
..	,
so	IN
i	PRP
want	VBP
to	TO
check	VB
it	PRP
permanently	RB
and	CC
want	VBP
to	TO
receive	VB
the	DT
correct	JJ
result	NN
until	IN
i	PRP
finish	VBP
the	DT
thread	NN
@	.
selvin	JJ
help	NN
others	NNS
so	RB
in	IN
future	JJ
someone	NN
help	VBP
you	PRP
....	.
@dejanlekic	USR
for	IN
some	DT
definition	NN
of	IN
"	``
simple	JJ
"	''
;	:
)	-RRB-
off	IN
-	C
by	IN
-	C
one	CD
errors	NNS
in	IN
array	NN
offsets	NNS
are	VBP
a	DT
frequent	JJ
source	NN
of	IN
bugs	NNS
:	:
p	C
thanks	VBZ
@	USR
0cool	USR
,	,
i	PRP
have	VBP
seen	VBN
that	IN
post	NN
but	CC
i	PRP
'm	VBP
not	RB
sure	JJ
that	IN
a	DT
android	NNP
.	NN
graphics	JC
.	JC
bitmap	JC
(	JC
not	JC
android	JC
.	JC
graphics	JC
.	JC
drawable	JC
.	JC
bitmapdrawable	JC
)	JC
is	VBZ
also	RB
a	DT
drawable	C
.	.
is	VBZ
that	IN
indeed	RB
the	DT
case	NN
?	.
resource	NN
at	IN
r	JC
.	JC
raw	JC
is	VBZ
made	VBN
at	IN
the	DT
compilation	NN
of	IN
the	DT
r	C
class	C
which	WDT
creates	VBZ
the	DT
ids	NNS
for	IN
the	DT
resources	NNS
.	.
the	DT
uri	NN
.	JC
parse	JC
(	JC
)	JC
requires	VBZ
an	DT
rfc	NNP
2396	CD
-	SYM
compliant	JJ
,	,
encoded	JJ
uri	NN
parameter	NN
.	.
r	JC
.	JC
raw	JC
.	JC
song	JC
is	VBZ
the	DT
int	NN
id	NN
of	IN
this	DT
song	NN
.	.
you	PRP
might	MD
want	VB
to	TO
read	VB
something	NN
like	IN
this	DT
http://stackoverflow.com/questions/559902/android-how-can-i-convert-android-net-uri-object-to-java-net-uri-	URI
object	NN
and	CC
check	VB
how	WRB
to	TO
make	VB
a	DT
uri	NN
from	IN
a	DT
file	C
object	NN
.	.
thanks	UH
@styfle	USR
nop	NN
,	,
it	PRP
throws	VBZ
unknownhost	C
when	WRB
my	PRP$
internet	NN
is	VBZ
down	RP
.	.
@rolfrander	USR
if	IN
not	RB
for	IN
the	DT
fact	NN
that	IN
both	DT
times	NNS
were	VBD
unknownhostexception	C
,	,
we	PRP
would	MD
be	VB
able	JJ
to	TO
determine	VB
which	WDT
case	NN
is	VBZ
which	WDT
is	VBZ
n't	RB
it	PRP
?	.
have	VBP
you	PRP
tried	VBD
using	VBG
an	DT
array	NN
instead	RB
of	IN
a	DT
list	NN
?	.
string	JC
[	JC
]	JC
myarray	JC
=	JC
new	JC
string	JC
[	JC
10	JC
]	JC
;	JC
the	DT
java	NNP
books	NNS
are	VBP
1000	CD
pages	NNS
long	RB
,	,
i	PRP
just	RB
do	VBP
n't	RB
have	VB
the	DT
time	NN
to	TO
read	VB
all	DT
about	IN
it	PRP
:	:
-	C
(	-LRB-
i	PRP
have	VBP
gone	VBN
through	IN
the	DT
lynda	NNP
.	.
com	ER
course	NN
and	CC
read	VB
a	DT
quick	JJ
tour	NN
on	IN
java	NNP
for	IN
android	NNP
beginners	NNS
which	WDT
i	PRP
found	VBD
on	IN
the	DT
web	NN
.	.
i	PRP
just	RB
hoped	VBD
that	IN
reusing	VBG
code	NN
would	MD
be	VB
somewhat	RB
simpler	JJR
so	IN
no	DT
code	NN
examples	NNS
where	WRB
needed	VBN
:	:
o	C
)	-RRB-
@	JC
luxurymode	JC
its	PRP$
wat	CCM
owlstead	CCM
said	CCM
exactly	CCM
..	CCM
its	CCM
a	CCM
small	CCM
light	CCM
that	CCM
is	CCM
usually	CCM
on	CCM
the	CCM
shift	CCM
button	CCM
.	CCM
@marvin	USR
pinto	USR
:	:
i	PRP
just	RB
use	VBP
bundle	JC
extras	JC
=	JC
getintent	JC
(	JC
)	JC
.	JC
getextras	JC
(	JC
)	JC
;	JC
.	.
the	DT
user	NN
enter	VB
in	IN
editext	IN
the	DT
data	NNS
i	PRP
am	VBP
saying	VBG
.	.
for	IN
final_	C
cores	NNS
i	PRP
use	VBP
arraylist	JC
<	JC
double	JC
>	JC
final_cores	JC
=	JC
new	JC
arraylist	JC
<	JC
double	JC
>	JC
(	JC
)	JC
;	JC
as	IN
you	PRP
can	MD
see	VB
.	.
(	-LRB-
i	PRP
do	VBP
n't	RB
know	VB
if	IN
i	PRP
answered	VBN
your	PRP$
question	NN
,	,
forgive	VB
me	PRP
,	,
am	VBP
new	JJ
to	TO
java-android	JJ
)	-RRB-
sorry	VB
for	IN
any	DT
confusion	NN
i	PRP
am	VBP
new	JJ
in	IN
this	DT
.	.
previously	RB
autocomplete	C
was	VBD
initialized	VBN
with	IN
autocompletetextview	C
but	CC
that	DT
would	MD
led	VB
to	TO
"	``
cannot	NN
refer	VBP
to	TO
a	DT
non-final	JJ
variable	NN
autocomplete	NN
inside	IN
an	DT
inner	NN
class	NN
defined	VBN
in	IN
a	DT
different	JJ
method	NN
.	.
"	``
and	CC
once	RB
i	PRP
declare	VB
autocomplete	C
with	IN
final	C
,	,
it	PRP
tells	VBZ
me	PRP
i	PRP
have	VBP
variable	JJ
duplication	NN
.	.
any	DT
of	IN
you	PRP
can	MD
head	VB
over	IN
here	RB
and	CC
have	VB
a	DT
look	NN
?	.
http://stackoverflow.com/questions/8997684/autocompletetextview-or-searchdialog/	URI
string	JC
tempstr	JC
=	JC
"	JC
\	JC
naspen	JC
social	JC
club\nbarbasque\ncrimson\nforum\nlexicon\n"	JC
;	JC
string	JC
[	JC
]	JC
splitarr	JC
=	JC
tempstr	JC
.	JC
split	JC
(	JC
"\n"	JC
)	JC
;	JC
for	JC
(	JC
int	JC
i	JC
=	JC
0	JC
;	JC
i	JC
<	JC
splitarr	JC
.	JC
length	JC
;	JC
i	JC
+	JC
+	JC
)	JC
{	JC
system	JC
.	JC
out	JC
.	JC
println	JC
(	JC
"splitsizeis:"	JC
+	JC
splitarr	JC
[	JC
i	JC
]	JC
)	JC
;	JC
}	JC
@	JC
lohoris	JC
thanks	UH
,	,
that	WDT
was	VBD
my	PRP$
problem	NN
.	.
i	JC
'	JC
d	JC
+	JC
1	JC
you	PRP
if	IN
you	PRP
had	VBD
written	VBN
it	PRP
as	IN
an	DT
answer	NN
:)	UH
@l7colwinters	USR
:	:
i	PRP
have	VBP
"	``
bundle	JC
extras	JC
=	JC
getintent	JC
(	JC
)	JC
.	JC
getextras	JC
(	JC
)	JC
;	JC
"	JC
(	JC
updated	JC
)	JC
.	.
i	PRP
am	VBP
not	RB
sure	JJ
if	IN
you	PRP
mean	VBP
that	IN
,	,
sorry	UH
.	.
answering	VBG
my	PRP$
own	JJ
question	NN
.	.
for	IN
some	DT
reason	NN
i	PRP
had	VBD
to	TO
call	VB
both	DT
canvas	JC
.	JC
drawcolor	JC
(	JC
color	JC
.	JC
transparent	JC
,	JC
porterduff	JC
.	JC
mode	JC
.	JC
clear	JC
)	JC
;	JC
this	JC
.	JC
framebuffer	JC
.	JC
erasecolor	JC
(	JC
color	JC
.	JC
transparent	JC
)	JC
;	JC
but	CC
it	PRP
was	VBD
still	RB
flickering	JJ
.	.
the	DT
flickering	JJ
was	VBD
due	JJ
to	TO
the	DT
double	JJ
buffering	NN
behaviour	NN
of	IN
the	DT
surfaceview	NN
.	.
http://stackoverflow.com/questions/6847323/android-surfaceview-canvas-flickering-after-trying-to-clear-it	URI
@	.
yuvidroid	USR
-	:
ah	NN
,	,
i	PRP
did	VBD
miss	NNS
that	IN
,	,
thanks	UH
:	:
)	-RRB-
.	.
that	DT
means	VBZ
i	PRP
can	MD
do	VB
it	PRP
,	,
but	CC
it	PRP
still	RB
leaves	VBZ
someone	NN
with	IN
16	CD
8	CD
k	C
reputation	NN
implying	VBG
i	PRP
should	MD
n't	RB
in	IN
the	DT
question	NN
i	PRP
linked	VBD
to	TO
:	:
http://stackoverflow.com/questions/4285877/which-one-to-use-onsaveinstancestate-vs-onretainnonconfigurationinstance	URI
-	--
i	PRP
would	MD
like	VB
to	TO
hear	VB
some	DT
arguments	NNS
for	IN
or	CC
against	IN
before	IN
picking	VBG
a	DT
method	NN
,	,
because	IN
i	PRP
find	VBP
the	DT
subject	NN
very	RB
confusing	JJ
.	.
my	PRP$
code	NN
looks	VBZ
like	IN
this	DT
..	UH
.	``
if	JC
(	JC
frequency	JC
=	JC
=	JC
60	JC
)	JC
{	JC
note	JC
.	JC
settext	JC
(	JC
"a"	JC
)	JC
;	JC
}	JC
else	JC
if	JC
(	JC
frequency	JC
=	JC
=	JC
62	JC
)	JC
{	JC
note	JC
.	JC
settext	JC
(	JC
"b"	JC
)	JC
;	JC
}	JC
so	RB
apparently	RB
there	EX
are	VBP
approximately	RB
35	CD
conditions	NNS
having	VBG
about	IN
150	CD
lines	NNS
of	IN
coding	VBG
.	.
.	.
@	JC
lalitpoptani	JC
threadgroup	JC
.	JC
uncaughtexception	JC
(	JC
thread	JC
,	JC
throwable	JC
)	JC
line	NN
:	:
850	CD
i	PRP
get	VBP
:	:
w	ER
/	ER
dalvikvm	ER
(	ER
8754	ER
)	ER
:	ER
threadid	ER
=	ER
1	ER
:	ER
thread	ER
exiting	ER
with	ER
uncaught	ER
exception	ER
(	ER
group	ER
=	ER
0x40018578	ER
)	ER
and	CC
then	RB
the	DT
rest	NN
of	IN
the	DT
errors	NNS
...	.
you	PRP
are	VBP
mistakable	JJ
@	:
nanne	NN
!!!	.
@	JC
nickt	USR
it	PRP
doesnt	VBZ
matter	VB
i	PRP
only	RB
integer	C
in	IN
integer	NN
format	NN
.	.
i	PRP
do	VBP
nt	RB
want	VBP
acting	JJ
float	NN
number	NN
(	-LRB-
like	IN
1.0	CD
,	,
2.0	CD
is	VBZ
nothing	NN
but	CC
12	CD
right	UH
?	.
)	-RRB-
@	USR
keyser	CCM
"	''
in	IN
this	DT
case	NN
"	''
.	.
thanks	VBZ
for	IN
the	DT
quick	JJ
reply	NN
!	.
i	PRP
'	VBP
ll	MD
throw	VB
a	DT
few	JJ
errors	NNS
up	RP
:	.
no	DT
dublicate	PRP
,	,
this	DT
is	VBZ
not	RB
about	IN
the	DT
@	C
override	NN
issue	NN
in	IN
any	DT
case	NN
!	.
ty	RB
very	RB
much	JJ
for	IN
the	DT
hint	NN
with	IN
v4	NN
supp	NN
package	NN
.	.
i	PRP
did	VBD
not	RB
know	VB
about	IN
this	DT
.	.
if	IN
you	PRP
add	VBP
this	DT
again	RB
as	IN
an	DT
answer	NN
i	PRP
can	MD
accept	VB
yours	NNS
.	.
try	VB
the	DT
steps	NNS
mentioned	VBN
in	IN
the	DT
answer	NN
of	IN
this	DT
[	-LRB-
so	NNP
]	-RRB-
[	-LRB-
1	CD
]	-RRB-
question	NN
[	-LRB-
1	CD
]	-RRB-
:	:
http://stackoverflow.com/questions/3593420/android-getting-source-code-from-an-apk-file	URI
see	VB
this	DT
..........................http://stackoverflow.com/questions/9498155/android-java-update-same-edittext-in-textchanged-event	URI
alright	UH
,	,
but	CC
the	DT
method	NN
i	PRP
need	VBP
to	TO
use	VB
only	RB
exists	VBZ
in	IN
3.0	CD
.	SYM
and	CC
according	VBG
to	TO
http	NNP
:	:
//developer.android.com/resources/dashboard/platform-versions	URI
.	C
html	NNP
2.3.3	CD
is	VBZ
on	IN
top	NN
.	.
@	.
thomasw	C
after	IN
a	DT
gazillion	NN
tries	VBZ
i	PRP
finally	RB
got	VBD
it	PRP
right	RB
.	.
